Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F2010192,ΤΣΑΙ ΤΟΥ ΒΟΥΝΟΥ (100G),Packet,1.900 ,
F2010072,ΤΣΑΙ ΤΟΥ ΒΟΥΝΟΥ ΑΠΟΞΗΡΑΜΕΝΟ ΧΥΜΑ,Kilogram,0.320 ,
F2100030,COCA COLA KOYTI (24*330ML),CAN,72.000 ,
F2100020,COCA COLA LIGHT ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,31.000 ,
F2100039,COCA COLA LIGHT ΚΟΥΤΙ (24*330ML),CAN,72.000 ,
F2100021,COCA COLA ZERO ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,145.000 ,
F2100016,COCA COLA ZERO ΚΟΥΤΙ (24*330ML),CAN,72.000 ,
F2100019,COCA COLA ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,63.000 ,
F2100035,FANTA ΛΕΜΟΝΙ ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,44.000 ,
F2100061,FANTA ΛΕΜΟΝΙ ΚΟΥΤΙ (24*330ML),CAN,48.000 ,
F2100022,FANTA ΠΟΡΤΟΚΑΛΙ ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,127.000 ,
F2100175,FANTA ΠΟΡΤΟΚΑΛΙ ΚΟΥΤΙ (24*330ML),CAN,48.000 ,
F2100096,FEVER TREE GINGER ALE (200ML),Bottles,24.000 ,
F2100105,FEVER TREE GINGER BEER (200ML),Bottles,48.000 ,
F2100153,FEVER TREE MEDITERRANEAN TONIC WATER (200ML),Bottles,24.000 ,
F2100106,FEVER TREE REFRESHINGLY LIGHT TONIC WATER (200ML),Bottles,24.000 ,
F2100103,FEVER TREE SODA (200ML),Bottles,48.000 ,
F2100104,FEVER TREE TONIC WATER (200ML),Bottles,56.000 ,
F21000458,FIG LEAF SODA THREE CENTS (200ML),Bottles,48.000 ,
F21000279,RED BULL ZERO ΚΟΥΤΙ (24*250ML),CAN,24.000 ,
F2100067,RED BULL ΚΟΥΤΙ (250ML),CAN,24.000 ,
F2100032,SPRITE KOYTI (24*330ML),CAN,61.000 ,
