Κωδικός,Περιγραφή,Μονάδα,Quantity,category
F2100061,FANTA ΛΕΜΟΝΙ ΚΟΥΤΙ (24*330ML),CAN,48,F210 SOFT DRINKS
F2100022,FANTA ΠΟΡΤΟΚΑΛΙ ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,127,F210 SOFT DRINKS
F2100175,FANTA ΠΟΡΤΟΚΑΛΙ ΚΟΥΤΙ (24*330ML),CAN,48,F210 SOFT DRINKS
F2100096,FEVER TREE GINGER ALE (200ML),Bottles,24,F210 SOFT DRINKS
F2100105,FEVER TREE GINGER BEER (200ML),Bottles,48,F210 SOFT DRINKS
F2100153,FEVER TREE MEDITERRANEAN TONIC WATER (200ML),Bottles,24,F210 SOFT DRINKS
F2100106,FEVER TREE REFRESHINGLY LIGHT TONIC WATER (200ML),Bottles,24,F210 SOFT DRINKS
F2100103,FEVER TREE SODA (200ML),Bottles,48,F210 SOFT DRINKS
F2100104,FEVER TREE TONIC WATER (200ML),Bottles,56,F210 SOFT DRINKS
F21000458,FIG LEAF SODA THREE CENTS (200ML),Bottles,48,F210 SOFT DRINKS
F21000279,RED BULL ZERO ΚΟΥΤΙ (24*250ML),CAN,24,F210 SOFT DRINKS
F2100067,RED BULL ΚΟΥΤΙ (250ML),CAN,24,F210 SOFT DRINKS
F2100032,SPRITE KOYTI (24*330ML),CAN,61,F210 SOFT DRINKS
F2100023,SPRITE ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,58,F210 SOFT DRINKS
F21000245,THE LONDON ESSENCE WHITE PEACH & JASMINE SODA ΦΙΑΛΗ (200ML),Bottles,72,F210 SOFT DRINKS
F2100180,THOMAS HENRY CHERRY BLOSSOM TONIC (200ML),Bottles,16,F210 SOFT DRINKS
F2100191,THREE CENTS AEGEAN TONIC (200ML),Bottles,30,F210 SOFT DRINKS
F2100178,THREE CENTS GENTLEMEN'S SODA (200ML),Bottles,71,F210 SOFT DRINKS
F2100167,THREE CENTS GINGER BEER (200ML),Bottles,8,F210 SOFT DRINKS
F2100150,THREE CENTS PINK GRAPEFRUIT SODA (200ML),Bottles,84,F210 SOFT DRINKS
F21000280,THREE CENTS SODA PINEAPLLE (200ML),Bottles,33,F210 SOFT DRINKS
F2100173,THREE CENTS TONIC WATER (200ML),Bottles,48,F210 SOFT DRINKS
F2100040,TONIC SCHWEPPES ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,48,F210 SOFT DRINKS
F2100121,ΠΡΑΣΙΝΟ ΤΣΑΙ ΜΕ ΛΕΜΟΝΙ MANGAJO (250ML),Bottles,72,F210 SOFT DRINKS
F2100122,ΠΡΑΣΙΝΟ ΤΣΑΙ ΜΕ ΡΟΔΙ MANGAJO (250ML),Bottles,67,F210 SOFT DRINKS
F2100124,ΣΟΔΑ SCHWEPPES PET (24*500ML),Bottles,48,F210 SOFT DRINKS
F2100125,ΣΟΔΑ SCHWEPPES ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,212,F210 SOFT DRINKS
F2200068,ΝΕΡΟ ACQUA PANNA ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (15*750ML),Bottles,4,F220 NATURAL MINERAL WATER
F2200022,ΝΕΡΟ EVIAN ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (12*750ΜL),Bottles,4,F220 NATURAL MINERAL WATER
F2200051,ΝΕΡΟ EVIAN ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (20*330ML),Bottles,79,F220 NATURAL MINERAL WATER
F2200087,"ΝΕΡΟ ΖΑΓΟΡΙ ''SANI"" ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ ΓΥΑΛΙ (12*1L)",Bottles,42,F220 NATURAL MINERAL WATER
F2210011,ΝΕΡΟ PERRIER ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (24*330ML),Bottles,44,F221 CARBONATED & AROMATIC WATER
F2210005,ΝΕΡΟ SAN PELLEGRINO ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (15*750ML),Bottles,19,F221 CARBONATED & AROMATIC WATER
F2210004,ΝΕΡΟ SAN PELLEGRINO ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (24*250ML),Bottles,96,F221 CARBONATED & AROMATIC WATER
F2210072,ΝΕΡΟ ΚΑΡΥΔΑΣ (330ML),Carton,12,F221 CARBONATED & AROMATIC WATER
F2210064,ΝΕΡΟ ΣΟΥΡΩΤΗ ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΦΙΑΛΗ ΜΙΑΣ ΧΡΗΣΕΩΣ (12*750ML),Bottles,6,F221 ICE
F22200007,ICE CUBES ΠΑΓΟΣ MASTERICE (1.5KG),Sack,8,F221 ICE
F22200008,ΠΑΓΟΣ COLLINS MASTERICE (12*176G),Packet,8,F230 JUICE
F2300006,ΧΥΜΟΣ APPLE PAGO (200ML),Bottles,103,F230 JUICE
F2300067,ΧΥΜΟΣ CRANBERRY PAGO (200ML),Bottles,25,F230 JUICE
